Collection ID,Fish ID,Freshwater Age,Ocean Age,Sex,Length,Weight,Scale Card Number,Scale Card Position,ASL Number
52496,1,,,M,,,,,
52496,2,,,M,,,,,
52496,3,,,F,,,,,
52496,4,,,M,,,,,
52496,5,,,M,,,,,
52496,6,,,M,,,,,
52496,7,,,M,,,,,
52496,8,,,F,,,,,
52496,9,,,F,,,,,
52496,10,,,F,,,,,
52496,11,,,F,,,,,
52496,12,,,F,,,,,
52496,13,,,F,,,,,
52496,14,,,F,,,,,
52496,15,,,M,,,,,
52496,16,,,F,,,,,
52496,17,,,F,,,,,
52496,18,,,F,,,,,
52496,19,,,M,,,,,
52496,20,,,F,,,,,
52496,21,,,F,,,,,
52496,22,,,M,,,,,
52496,23,,,M,,,,,
52496,24,,,F,,,,,
52496,25,,,M,,,,,
52496,26,,,F,,,,,
52496,27,,,M,,,,,
52496,28,,,M,,,,,
52496,29,,,F,,,,,
52496,30,,,F,,,,,
52496,31,,,F,,,,,
52496,32,,,M,,,,,
52496,33,,,F,,,,,
52496,34,,,F,,,,,
52496,35,,,F,,,,,
52496,36,,,F,,,,,
52496,37,,,M,,,,,
52496,38,,,M,,,,,
52496,39,,,M,,,,,
52496,40,,,M,,,,,
52496,41,,,M,,,,,
52496,42,,,M,,,,,
52496,43,,,M,,,,,
52496,44,,,M,,,,,
52496,45,,,F,,,,,
52496,46,,,F,,,,,
52496,47,,,F,,,,,
52496,48,,,F,,,,,
52496,49,,,M,,,,,
52496,50,,,F,,,,,
52496,51,,,F,,,,,
52496,52,,,M,,,,,
52496,53,,,M,,,,,
52496,54,,,M,,,,,
52496,55,,,M,,,,,
52496,56,,,M,,,,,
52496,57,,,M,,,,,
52496,58,,,M,,,,,
52496,59,,,M,,,,,
52496,60,,,M,,,,,
52496,61,,,F,,,,,
52496,62,,,F,,,,,
52496,63,,,M,,,,,
52496,64,,,M,,,,,
52496,65,,,F,,,,,
52496,66,,,M,,,,,
52496,67,,,M,,,,,
52496,68,,,M,,,,,
52496,69,,,M,,,,,
52496,70,,,M,,,,,
52496,71,,,M,,,,,
52496,72,,,M,,,,,
52496,73,,,M,,,,,
52496,74,,,F,,,,,
52496,75,,,M,,,,,
52496,76,,,M,,,,,
52496,77,,,M,,,,,
52496,78,,,M,,,,,
52496,79,,,M,,,,,
52496,80,,,F,,,,,
52496,81,,,M,,,,,
52496,82,,,M,,,,,
52496,83,,,F,,,,,
52496,84,,,M,,,,,
52496,85,,,F,,,,,
52496,86,,,F,,,,,
52496,87,,,F,,,,,
52496,88,,,F,,,,,
52496,89,,,M,,,,,
52496,90,,,M,,,,,
52496,91,,,M,,,,,
52496,92,,,M,,,,,
52496,93,,,M,,,,,
52496,94,,,M,,,,,
52496,95,,,M,,,,,
52496,96,,,M,,,,,
52496,97,,,F,,,,,
52496,98,,,M,,,,,
52496,99,,,M,,,,,
52496,100,,,F,,,,,
52496,101,,,M,,,,,
52496,102,,,M,,,,,
52496,103,,,F,,,,,
52496,104,,,F,,,,,
52496,105,,,M,,,,,
52496,106,,,M,,,,,
52496,107,,,F,,,,,
52496,108,,,F,,,,,
52496,109,,,M,,,,,
52496,110,,,M,,,,,
52496,111,,,M,,,,,
52496,112,,,F,,,,,
52496,113,,,F,,,,,
52496,114,,,M,,,,,
52496,115,,,M,,,,,
52496,116,,,F,,,,,
52496,117,,,M,,,,,
52496,118,,,F,,,,,
52496,119,,,M,,,,,
52496,120,,,F,,,,,
52496,121,,,F,,,,,
52496,122,,,F,,,,,
52496,123,,,F,,,,,
52496,124,,,F,,,,,
52496,125,,,F,,,,,
52496,126,,,M,,,,,
52496,127,,,M,,,,,
52496,128,,,M,,,,,
52496,129,,,M,,,,,
52496,130,,,F,,,,,
52496,131,,,F,,,,,
52496,132,,,M,,,,,
52496,133,,,F,,,,,
52496,134,,,F,,,,,
52496,135,,,F,,,,,
52496,136,,,M,,,,,
52496,137,,,M,,,,,
52496,138,,,M,,,,,
52496,139,,,M,,,,,
52496,140,,,F,,,,,
52496,141,,,M,,,,,
52496,142,,,M,,,,,
52496,143,,,M,,,,,
52496,144,,,M,,,,,
52496,145,,,M,,,,,
52496,146,,,F,,,,,
52496,147,,,M,,,,,
52496,148,,,F,,,,,
52496,149,,,M,,,,,
52496,150,,,M,,,,,
52496,151,,,M,,,,,
52496,152,,,F,,,,,
