silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sex,otolith_mark_present
PDUCK14E_1,PDUCK14E,1,1400002559,1,Heart,M,NO
PDUCK14E_2,PDUCK14E,2,1400002559,2,Heart,M,NO
PDUCK14E_3,PDUCK14E,3,1400002559,3,Heart,F,NO
PDUCK14E_4,PDUCK14E,4,1400002559,4,Heart,M,NO
PDUCK14E_5,PDUCK14E,5,1400002559,5,Heart,M,NO
PDUCK14E_6,PDUCK14E,6,1400002559,6,Heart,M,NO
PDUCK14E_7,PDUCK14E,7,1400002559,7,Heart,M,NO
PDUCK14E_8,PDUCK14E,8,1400002559,8,Heart,F,NO
PDUCK14E_9,PDUCK14E,9,1400002559,9,Heart,F,NO
PDUCK14E_10,PDUCK14E,10,1400002559,10,Heart,F,NO
PDUCK14E_12,PDUCK14E,12,1400002559,12,Heart,F,NO
PDUCK14E_13,PDUCK14E,13,1400002559,13,Heart,F,NO
PDUCK14E_14,PDUCK14E,14,1400002559,14,Heart,F,NO
PDUCK14E_15,PDUCK14E,15,1400002559,15,Heart,M,NO
PDUCK14E_16,PDUCK14E,16,1400002559,16,Heart,F,NO
PDUCK14E_17,PDUCK14E,17,1400002559,17,Heart,F,NO
PDUCK14E_22,PDUCK14E,22,1400002559,22,Heart,M,NO
PDUCK14E_23,PDUCK14E,23,1400002559,23,Heart,M,NO
PDUCK14L_1,PDUCK14L,1,1400002578,1,Heart,F,NO
PDUCK14L_2,PDUCK14L,2,1400002578,2,Heart,F,NO
PDUCK14L_3,PDUCK14L,3,1400002578,3,Heart,F,NO
PDUCK14L_4,PDUCK14L,4,1400002578,4,Heart,F,NO
PDUCK14L_5,PDUCK14L,5,1400002578,5,Heart,F,NO
PDUCK14L_6,PDUCK14L,6,1400002578,6,Heart,F,NO
PDUCK14L_7,PDUCK14L,7,1400002578,7,Heart,F,NO
PDUCK14L_8,PDUCK14L,8,1400002578,8,Heart,F,NO
PDUCK14L_9,PDUCK14L,9,1400002578,9,Heart,F,NO
PDUCK14L_37,PDUCK14L,37,1400002578,37,Heart,M,NO
PDUCK14L_38,PDUCK14L,38,1400002578,38,Heart,M,NO
PDUCK14L_39,PDUCK14L,39,1400002578,39,Heart,M,NO
PDUCK14L_40,PDUCK14L,40,1400002578,40,Heart,M,NO
PDUCK14L_41,PDUCK14L,41,1400002578,41,Heart,M,NO
PDUCK14L_42,PDUCK14L,42,1400002578,42,Heart,M,NO
PDUCK14L_43,PDUCK14L,43,1400002578,43,Heart,M,NO
PDUCK14L_44,PDUCK14L,44,1400002578,44,Heart,M,NO
PDUCK14L_45,PDUCK14L,45,1400002578,45,Heart,M,NO
PGREG14E_1,PGREG14E,1,1400002563,1,Heart,M,NO
PGREG14E_6,PGREG14E,6,1400002563,6,Heart,F,NO
PGREG14E_7,PGREG14E,7,1400002563,7,Heart,F,NO
PGREG14E_8,PGREG14E,8,1400002563,8,Heart,F,NO
PGREG14E_10,PGREG14E,10,1400002563,10,Heart,M,NO
PGREG14E_12,PGREG14E,12,1400002563,12,Heart,M,NO
PGREG14E_13,PGREG14E,13,1400002563,13,Heart,F,NO
PGREG14E_14,PGREG14E,14,1400002563,14,Heart,F,NO
PGREG14E_15,PGREG14E,15,1400002563,15,Heart,F,NO
PGREG14E_16,PGREG14E,16,1400002563,16,Heart,F,NO
PGREG14E_17,PGREG14E,17,1400002563,17,Heart,M,NO
PGREG14E_18,PGREG14E,18,1400002563,18,Heart,M,NO
PGREG14E_20,PGREG14E,20,1400002563,20,Heart,F,NO
PGREG14E_22,PGREG14E,22,1400002563,22,Heart,M,NO
PGREG14E_24,PGREG14E,24,1400002563,24,Heart,F,NO
PGREG14E_26,PGREG14E,26,1400002563,26,Heart,M,NO
PGREG14E_28,PGREG14E,28,1400002563,28,Heart,M,NO
PGREG14E_29,PGREG14E,29,1400002563,29,Heart,M,NO
PGREG14L_1,PGREG14L,1,1400002576,1,Heart,M,NO
PGREG14L_2,PGREG14L,2,1400002576,2,Heart,M,NO
PGREG14L_3,PGREG14L,3,1400002576,3,Heart,M,NO
PGREG14L_4,PGREG14L,4,1400002576,4,Heart,M,NO
PGREG14L_5,PGREG14L,5,1400002576,5,Heart,M,NO
PGREG14L_6,PGREG14L,6,1400002576,6,Heart,M,NO
PGREG14L_7,PGREG14L,7,1400002576,7,Heart,M,NO
PGREG14L_8,PGREG14L,8,1400002576,8,Heart,M,NO
PGREG14L_9,PGREG14L,9,1400002576,9,Heart,M,NO
PGREG14L_75,PGREG14L,75,1400002579,27,Heart,F,NO
PGREG14L_76,PGREG14L,76,1400002579,28,Heart,F,NO
PGREG14L_77,PGREG14L,77,1400002579,29,Heart,F,NO
PGREG14L_78,PGREG14L,78,1400002579,30,Heart,F,NO
PGREG14L_79,PGREG14L,79,1400002579,31,Heart,F,NO
PGREG14L_80,PGREG14L,80,1400002579,32,Heart,F,NO
PGREG14L_81,PGREG14L,81,1400002579,33,Heart,F,NO
PGREG14L_82,PGREG14L,82,1400002579,34,Heart,F,NO
PGREG14L_83,PGREG14L,83,1400002579,35,Heart,F,NO
