silly,fish_id,silly_source,dna_plate_id,dna_plate_well,lineage
PCANN15,1,PCANN15_1,63213,A1,Odd
PDUCK14E,3,PDUCK14E_3,63213,C10,Even
PCANN15,56,PCANN15_56,63213,E2,Odd
PCANN15,112,PCANN15_112,63213,C4,Odd
PCANN15,159,PCANN15_159,63213,A5,Odd
PCANN15,162,PCANN15_162,63213,D5,Odd
PVFDA15,5,PVFDA15_5,63213,A6,Odd
PVFDA15,51,PVFDA15_51,63213,F6,Odd
PVFDA15,54,PVFDA15_54,63213,A7,Odd
PVFDA15,58,PVFDA15_58,63213,E7,Odd
PVFDA15,102,PVFDA15_102,63213,H7,Odd
PVFDA15,104,PVFDA15_104,63213,B8,Odd
PVFDA15,154,PVFDA15_154,63213,B9,Odd
PVFDA15,155,PVFDA15_155,63213,C9,Odd
PVFDA15,159,PVFDA15_159,63213,G9,Odd
PVFDA15,160,PVFDA15_160,63213,H9,Odd
PDUCK14L,37,PDUCK14L_37,63214,E1,Even
PDUCK14L,39,PDUCK14L_39,63214,G1,Even
PDUCK13,1,PDUCK13_1,63214,F11,Odd
PDUCK13,5,PDUCK13_5,63214,B12,Odd
PDUCK13,12,PDUCK13_12,63215,B1,Odd
PDUCK13,60,PDUCK13_60,63215,F3,Odd
PSTOCK16,1321,PSTOCK16_1321,63215,C5,Even
PHOGAN16,3348,PHOGAN16_3348,63216,F12,Even
PHOGAN16,4008,PHOGAN16_4008,63216,G12,Even
PSTOCK15,2594,PSTOCK15_2594,63216,B4,Odd
PSTOCK15,2625,PSTOCK15_2625,63216,C4,Odd
PSTOCK15,2905,PSTOCK15_2905,63216,F4,Odd
PHOGAN15,3748,PHOGAN15_3748,63217,F12,Odd
PHOGAN16,10901,PHOGAN16_10901,63217,F5,Even
PSPRIN14,151,PSPRIN14_151,63218,C6,Even
PSPRIN14,154,PSPRIN14_154,63218,E6,Even
PSPRIN15,9935,PSPRIN15_9935,63219,C1,Odd
PSPRIN15,9955,PSPRIN15_9955,63219,E1,Odd
PAFK14,91,PAFK14_91,63219,E10,Even
PAFK14,92,PAFK14_92,63219,F10,Even
PAFK94H,75,PAFK94H_75,63219,A3,Even
PAFK94H,92,PAFK94H_92,63219,B5,Even
PAFK14,50,PAFK14_50,63219,C6,Even
PAFK14,52,PAFK14_52,63219,E6,Even
PAFK14,55,PAFK14_55,63219,H6,Even
PAFK14,56,PAFK14_56,63219,A7,Even
PAFK14,62,PAFK14_62,63219,G7,Even
PAFK14,75,PAFK14_75,63219,E8,Even
PCANN14,27,PCANN14_27,63220,C10,Even
PCANN14,32,PCANN14_32,63220,H10,Even
PCANN14,35,PCANN14_35,63220,C11,Even
PAFK91H,59,PAFK91H_59,63220,B2,Odd
PAFK91H,62,PAFK91H_62,63220,E2,Odd
PAFK13,151,PAFK13_151,63220,D3,Odd
PAFK13,157,PAFK13_157,63220,B4,Odd
PAFK13,182,PAFK13_182,63220,E6,Odd
PAFK13,186,PAFK13_186,63220,A7,Odd
PAFK13,190,PAFK13_190,63220,E7,Odd
PCANN14,1,PCANN14_1,63220,H7,Even
PCANN14,4,PCANN14_4,63220,C8,Even
PCANN91H,10,PCANN91H_10,63221,F1,Odd
PVFDA14,25,PVFDA14_25,63221,B10,Even
PVFDA14,26,PVFDA14_26,63221,C10,Even
PVFDA14,27,PVFDA14_27,63221,D10,Even
PVFDA14,52,PVFDA14_52,63221,A11,Even
PVFDA14,53,PVFDA14_53,63221,B11,Even
PVFDA14,76,PVFDA14_76,63221,E11,Even
PVFDA14,77,PVFDA14_77,63221,F11,Even
PVFDA14,103,PVFDA14_103,63221,C12,Even
PCANN91H,14,PCANN91H_14,63221,B2,Odd
PCANN91H,17,PCANN91H_17,63221,E2,Odd
PVFDA94H,1,PVFDA94H_1,63221,A5,Even
PVFDA94H,6,PVFDA94H_6,63221,F5,Even
PVFDA94H,53,PVFDA94H_53,63221,E7,Even
PVFDA94H,55,PVFDA94H_55,63221,G7,Even
PVFDA94H,66,PVFDA94H_66,63221,B9,Even
PVFDA94H,68,PVFDA94H_68,63221,D9,Even
PVFDA14,149,PVFDA14_149,63222,A1,Even
PDUCK94T,68,PDUCK94T_68,63222,A11,Even
PERBE91T,52,PERBE91T_52,63222,D12,Odd
PERBE91T,54,PERBE91T_54,63222,F12,Odd
PVFDE91H,9,PVFDE91H_9,63222,B3,Odd
PVFDE91H,12,PVFDE91H_12,63222,E3,Odd
PVFDE91H,17,PVFDE91H_17,63222,B4,Odd
PVFDE91H,61,PVFDE91H_61,63222,F5,Odd
PVFDE91H,65,PVFDE91H_65,63222,B6,Odd
PDUCK94T,3,PDUCK94T_3,63222,H6,Even
PDUCK94T,7,PDUCK94T_7,63222,D7,Even
PDUCK94T,8,PDUCK94T_8,63222,E7,Even
PERBL91T,2,PERBL91T_2,63223,F1,Odd
PERBL91T,53,PERBL91T_53,63223,H2,Odd
PERBL91T,55,PERBL91T_55,63223,B3,Odd
PGREG94,65,PGREG94_65,63223,G7,Even
PGREG94,68,PGREG94_68,63223,B8,Even
